title,price,location,search
"PAYING HIGHEST IPHONE 16 PRO MAX, 16 PRO, 15 PRO MAX, CASH",N/A,BROOKLYN,laptop
"CASH NOW FOR APPLE :IPAD, IPHONE 16 PRO, APPLE WATCH, APPLE PENCIL, MACBOOK",N/A,BROOKLYN,laptop
Surface pro 5 screen,$95,Elmhurst,laptop
IPAD MINI 5 screen,$55,Elmhurst,laptop
KEiiD Computer Speakers Bluetooth 5.0 Gaming Stereo Wireless Touch Pad,$20,Williamsburg/Greenpoint,laptop
Mens hand made leather suitcase unique n perfect,$115,Queens,laptop
Box Desk,$700,Brooklyn,laptop
Acer Power Supply,$10,Brooklyn,laptop
Apple Pencil (2nd Generation) for ipad,$49,Kew Gardens,laptop
FUJIFILM EF-X8 Flash (Fuji X mount),$29,Kew Gardens,laptop
Panasonic Lumix DMC-GF2 Digital Mirrorless Camera W 35mm f1.6 Lens (Black),$199,Kew Gardens,laptop
Fujifilm XF 18-55mm F2.8-4 OIS Zoom Lens,$329,Kew Gardens,laptop
TTArtisan 7.5mm f/2 Fisheye Lens (FUJIFILM X),$79,Kew Gardens,laptop
Panasonic Lumix G Vario 14-42mm f/3.5-5.6 II ASPH. MEGA O.I.S. Lens with UV Filt,$99,Kew Gardens,laptop
Lenovo 65W USB-C Type-C AC Adapter For Lenovo Laptops,$19,Kew Gardens,laptop
"CORSAIR 12-Pin Sleeved GPU Power Supply Cable for NVIDIA RTX 3060, 3070, 3080, 3",$15,Kew Gardens,laptop
Fujifilm XF 18-55mm F2.8-4 OIS Zoom Lens,$329,Kew Gardens,laptop
FUJIFILM XF 56mm f/1.2 R WR Lens (New Version),$699,Kew Gardens,laptop
FUJIFILM X-T5 Mirrorless Camera (Black Noir ),"$1,499",Kew Gardens,laptop
FUJIFILM XF 56mm f/1.2 R Prime Lens,$399,Kew Gardens,laptop
FUJIFILM X-E3 Mirrorless Digital Camera (Silver Agent ) Body Only,$699,Kew Gardens,laptop
FUJIFILM X-E3 Mirrorless Digital Camera with 27mm f2.8 lens,$899,Kew Gardens,laptop
FUJIFILM NP-W126S Li-Ion Battery Pack (Brand New),$39,Kew Gardens,laptop
Mens hand made leather suitcase unique n perfect,$115,Queens,laptop
MSI Clevo N870HK1,$300,Brooklyn,laptop
"K300 Sound Effects Board Set,",$25,Brooklyn,laptop
SentinelX NFC - COIN,$20,Long Island City,laptop
"Apple Keyboard, wireless bluetooth,  French AZERTY layout",$50,Queens,laptop
Kid's Travel Activity Tray with Tablet Laptop Holder (NEW),$20,Forest Hills,laptop
"LIKE NEW, 2015 MacBook Pro 15.4"" 15"", 512 GB SSD, i7, 2.2 GHz, 16 GB",$300,"Richmond Hill, Queens",laptop
"LIKE NEW, 2015 MacBook Pro 15.4"" 15"", 512 GB SSD, i7, 2.2 GHz, 16 GB",$300,"Richmond Hill, Queens",laptop
"LIKE NEW, 2012 MacBook Pro 15"" 15.4"", 256 GB SSD, i7, 2.6 GHz, 16 GB",$275,"Richmond Hill, Queens",laptop
"LIKE NEW, 2012 MacBook Pro 15"" 15.4"", 256 GB SSD, i7, 2.6 GHz, 16 GB",$275,"Richmond Hill, Queens",laptop
"LIKE NEW, 2015 MacBook Air 13"" 13.3"", 512 GB SSD, i7, 2.2 GHz, 8 GB",$300,"Richmond Hill, Queens",laptop
"LIKE NEW, 2015 MacBook Air 13"" 13.3"", 512 GB SSD, i7, 2.2 GHz, 8 GB",$300,"Richmond Hill, Queens",laptop
"LIKE NEW, 2018 MacBook Pro Touch 15"", 512 GB SSD, i7, 2.6 GHz, 16 GB",$400,"Richmond Hill, Queens",laptop
"LIKE NEW, 2018 MacBook Pro Touch 15"", 512 GB SSD, i7, 2.6 GHz, 16 GB",$400,"Richmond Hill, Queens",laptop
